# KNK PASS DATA 샘플 (기능/방수 검사기 예시)
# SECTION=MEAS 단일측정 / SECTION=REPEAT 반복성(REPEAT_INDEX=회차)
# SPEC_LOW/HIGH 비우면 기본 규격 적용 (Open 0~150000, Short 0~10, DIFF 0~40)
SECTION,ITEM,VALUE,SPEC_LOW,SPEC_HIGH,REPEAT_INDEX
MEAS,Open_CH1,15000,0,150000,
MEAS,Open_CH2,15000,0,150000,
MEAS,Open_CH3,148500,0,150000,
MEAS,Short_CH1,3,0,10,
MEAS,Short_CH2,5,0,10,
MEAS,Short_CH3,9,0,10,
MEAS,Short_CH4,12,0,10,
MEAS,DIFF,33,0,40,
REPEAT,DIFF,31,,,1
REPEAT,DIFF,32,,,2
REPEAT,DIFF,33,,,3
REPEAT,DIFF,31,,,4
REPEAT,DIFF,34,,,5
REPEAT,DIFF,32,,,6
REPEAT,DIFF,33,,,7
REPEAT,DIFF,30,,,8
REPEAT,DIFF,32,,,9
REPEAT,DIFF,33,,,10
REPEAT,DIFF,41,,,11
REPEAT,DIFF,33,,,12
REPEAT,DIFF,32,,,13
REPEAT,DIFF,34,,,14
REPEAT,DIFF,31,,,15
